"","sigma_s","rew_multi","sigma","rho","reward"
"180",0.3,5,2,0.9,15431.2724127995
"181",0.3,5,0.1,1,22014.9359529524
"182",0.3,5,0.2,1,21016.764321269
"183",0.3,5,0.3,1,19778.741589233
"184",0.3,5,0.4,1,18620.2449938612
"185",0.3,5,0.5,1,17789.7505417158
"186",0.3,5,0.6,1,17229.1943455001
"187",0.3,5,0.7,1,16843.679111668
"188",0.3,5,0.8,1,16570.5108506691
"189",0.3,5,0.9,1,16371.3357508223
"190",0.3,5,1,1,16222.3526458898
"191",0.3,5,1.1,1,16108.3785658135
"192",0.3,5,1.2,1,16019.4489893588
"193",0.3,5,1.3,1,15948.8467492384
"194",0.3,5,1.4,1,15891.9310421333
"195",0.3,5,1.5,1,15845.4231334172
"196",0.3,5,1.6,1,15806.9592270022
"197",0.3,5,1.7,1,15774.8036425162
"198",0.3,5,1.8,1,15747.6605829161
"199",0.3,5,1.9,1,15724.5479702216
"200",0.3,5,2,1,15704.7112217525
"201",0.3,5,0.1,1.1,22005.9586646371
"202",0.3,5,0.2,1.1,21008.9461169916
"203",0.3,5,0.3,1.1,19777.0571228575
"204",0.3,5,0.4,1.1,18651.5924851635
"205",0.3,5,0.5,1.1,17868.9242897885
"206",0.3,5,0.6,1.1,17349.1599035741
"207",0.3,5,0.7,1.1,16994.1061393364
"208",0.3,5,0.8,1.1,16743.2323864776
"209",0.3,5,0.9,1.1,16560.5341994419
"210",0.3,5,1,1.1,16423.9447904376
"211",0.3,5,1.1,1.1,16319.4709235176
"212",0.3,5,1.2,1.1,16237.9562845646
"213",0.3,5,1.3,1.1,16173.2380543189
"214",0.3,5,1.4,1.1,16121.0618249382
"215",0.3,5,1.5,1.1,16078.423047773
"216",0.3,5,1.6,1.1,16043.1559819301
"217",0.3,5,1.7,1.1,16013.6704560001
"218",0.3,5,1.8,1.1,15988.7792825419
"219",0.3,5,1.9,1.1,15967.5826467321
"220",0.3,5,2,1.1,15949.3891195629
"221",0.3,5,0.1,1.2,21993.7197608988
"222",0.3,5,0.2,1.2,20992.8857184757
"223",0.3,5,0.3,1.2,19761.940016535
"224",0.3,5,0.4,1.2,18667.5815461509
"225",0.3,5,0.5,1.2,17931.1505250787
"226",0.3,5,0.6,1.2,17450.0353542242
"227",0.3,5,0.7,1.2,17123.5369470871
"228",0.3,5,0.8,1.2,16893.482035371
"229",0.3,5,0.9,1.2,16726.1574092832
"230",0.3,5,1,1.2,16601.1364625073
"231",0.3,5,1.1,1.2,16505.5378544264
"232",0.3,5,1.2,1.2,16430.9571457891
"233",0.3,5,1.3,1.2,16371.7464890564
"234",0.3,5,1.4,1.2,16324.0104281147
"235",0.3,5,1.5,1.2,16284.9992946571
"236",0.3,5,1.6,1.2,16252.7316301768
"237",0.3,5,1.7,1.2,16225.7527921584
"238",0.3,5,1.8,1.2,16202.97685663
"239",0.3,5,1.9,1.2,16183.5807822142
"240",0.3,5,2,1.2,16166.9321322527
"241",0.3,5,0.1,1.3,21978.6844404137
"242",0.3,5,0.2,1.3,20969.6936931483
"243",0.3,5,0.3,1.3,19735.4304624122
"244",0.3,5,0.4,1.3,18671.091834387
"245",0.3,5,0.5,1.3,17979.3248526024
"246",0.3,5,0.6,1.3,17534.5286245098
"247",0.3,5,0.7,1.3,17234.5188155135
"248",0.3,5,0.8,1.3,17023.6819727275
"249",0.3,5,0.9,1.3,16870.5283108316
"250",0.3,5,1,1.3,16756.1704812112
"251",0.3,5,1.1,1.3,16668.7567849659
"252",0.3,5,1.2,1.3,16600.5751692135
"253",0.3,5,1.3,1.3,16546.4510008266
"254",0.3,5,1.4,1.3,16502.8184937847
"255",0.3,5,1.5,1.3,16467.1621222754
"256",0.3,5,1.6,1.3,16437.66981529
"257",0.3,5,1.7,1.3,16413.0115958789
"258",0.3,5,1.8,1.3,16392.1947585718
"259",0.3,5,1.9,1.3,16374.4669896755
"260",0.3,5,2,1.3,16359.2502384278
"261",0.3,5,0.1,1.4,21961.2841896229
"262",0.3,5,0.2,1.4,20940.3909996986
"263",0.3,5,0.3,1.4,19699.4365960027
"264",0.3,5,0.4,1.4,18664.7630378207
"265",0.3,5,0.5,1.4,18016.0397999289
"266",0.3,5,0.6,1.4,17605.0966595836
"267",0.3,5,0.7,1.4,17329.4234891854
"268",0.3,5,0.8,1.4,17136.1466552507
"269",0.3,5,0.9,1.4,16995.9175000626
"270",0.3,5,1,1.4,16891.2815444055
"271",0.3,5,1.1,1.4,16811.3322777826
"272",0.3,5,1.2,1.4,16748.9893871882
"273",0.3,5,1.3,1.4,16699.5088998288
"274",0.3,5,1.4,1.4,16659.6247877403
