"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"110",0.224619336220293,0.865779024708418,0.0500187777310876,0.0842021975604948,0.296614290793692,-9393.10440053139,2077
"111",0.239596090022552,0.869017414053828,0.0489215861932268,0.0820609997529455,0.305660244395146,-9392.66504855915,2077
"112",0.22866457207334,0.869600808510905,0.0473588637609265,0.0830403277281686,0.292232235996581,-9391.68097329606,2077
"113",0.2339418088187,0.871511811131038,0.0483379795417461,0.0801502093272164,0.301819302679267,-9391.21565431197,2077
"114",0.238279498992818,0.87919388470691,0.044475996021952,0.0763301192711383,0.26999961641798,-9392.39302778833,2077
"115",0.239859350588681,0.867557712834579,0.0454095577651983,0.0870327294002229,0.303259742267847,-9393.7077090198,2077
"116",0.237897014311398,0.874218428566794,0.0516638524115617,0.074117719021644,0.277050157489112,-9396.68544519837,2077
"117",0.22918340584948,0.868805346344761,0.0453220578030347,0.0858725958522044,0.289769049618959,-9392.5556253658,2077
"118",0.228047005814782,0.867709920384222,0.0504895239733792,0.0818005556423984,0.309365080196126,-9392.58310030159,2077
"119",0.219279564655105,0.866123843527324,0.0489572716411714,0.0849188848315047,0.29397629161084,-9395.8306881236,2077
"120",0.229828811520141,0.864611985281267,0.0499300458060563,0.0854579689126771,0.2713490143009,-9393.18269084024,2077
"121",0.246080973255174,0.882287871353707,0.0426470853934674,0.0750650432528258,0.288721814285363,-9393.2098012717,2077
"122",0.235614355416447,0.866248192280772,0.0494481481222235,0.0843036595970043,0.336682414199389,-9393.99620575255,2077
"123",0.238348275263068,0.86548423613085,0.04874652215071,0.0857692417184403,0.265987579146449,-9394.07137649398,2077
"124",0.233457885108436,0.868285196031281,0.0468417963586816,0.0848730076100375,0.306409008875784,-9391.33329360355,2077
"125",0.239752407680847,0.873859134064093,0.0455268313867763,0.080614034549131,0.302684173272684,-9391.30574664581,2077
"126",0.248397306972106,0.882277308591905,0.041615922267391,0.0761067691407043,0.302243936008045,-9394.56950336841,2077
"127",0.24041359004862,0.875649675763124,0.0465304132355822,0.0778199110012939,0.306264395397982,-9391.73672561272,2077
"128",0.236931265032663,0.877191181836642,0.043136844771354,0.0796719733920037,0.295734907872889,-9391.7927797346,2077
"129",0.230898655207594,0.87204502314937,0.0445990190307165,0.0833559578199135,0.284706869103235,-9392.24780487933,2077
"130",0.239129418809709,0.881839755387794,0.0434702195463475,0.0746900250658586,0.286694850610377,-9392.62420708924,2077
"131",0.234197417233036,0.873115924629341,0.0454035465629431,0.0814805288077155,0.301350670892423,-9390.97746911379,2077
"132",0.234072078235363,0.871511666386125,0.0489351865206624,0.0795531470932124,0.274366112719233,-9392.228090117,2077
"133",0.232363617785139,0.872407558813955,0.0462546100127676,0.0813378311732774,0.279231193145268,-9391.48511223751,2077
"134",0.232848605771795,0.87220276521543,0.043682500832994,0.0841147339515758,0.32064164238672,-9392.86515414137,2077
"135",0.234770783288882,0.86558773104912,0.0518718406453781,0.0825404283055015,0.29040457415733,-9393.72832205102,2077
"136",0.22565714495082,0.857868381432051,0.0484138390428008,0.093717779525148,0.314537852054739,-9396.00616650067,2077
"137",0.240097627469292,0.872841722849666,0.044929281957982,0.0822289951923521,0.291845059578102,-9391.57956944919,2077
"138",0.233336393191049,0.882218525924212,0.0436755194940859,0.0741059545817016,0.266061290738747,-9395.59530994882,2077
